"flag","Vessel Name","registeredOwner","callSign","MMSI","imo","shipType","destination","eta","navigationStatus","Latitude","Longitude","age","timeOfFix"
"Greece","MARAN LUPUS","Aeolos Maritime Inc","SVDJ2","241724000","9418066","8-Tanker","Capetown","8252300","0-Underway(Engine)","-28.05485","44.2103","14m41s","2025-08-19T05:54:39.000Z"
"Malta","KALLIOPI","Fairtrans Co Inc Ltd-MTA","9HA2555","248869000","9508859","8-Tanker","Waf","9010500","0-Underway(Engine)","-26.734142","45.045483","48m09s","2025-08-19T05:21:11.000Z"
"Malta","LARGO AURORA","Orion Energy Transport 1 SAS","9HA6342","249659000","1034735","8-Tanker","Mypkg>nawvb","8290400","0-Underway(Engine)","-26.806795","44.665762","12m38s","2025-08-19T05:56:42.000Z"
"Luxembourg","TSARAVATSY","Hiyoshi Kaiun/HY Marine","LXAN4","253000113","9829526","8-Tanker","Mg Die","8172030","5-Moored","-12.268677","49.288108","4m31s","2025-08-19T06:04:49.000Z"
"Norway (Nis)","FAUSKANGER","Alpha Vessel Ltd","LAFL7","257376000","9387700","8-Tanker","Nl Rtm","9121800","0-Underway(Engine)","-27.253137","47.832068","34m57s","2025-08-19T05:34:23.000Z"
"Barbados","SKAGE","Traction Shipholding Ltd","8PZR8","314001089","9194995","8-Tanker","Singapore","9100200","0-Underway(Engine)","-28.43101","45.601262","14m52s","2025-08-19T05:54:28.000Z"
"Japan","ENERGY INNOVATOR","Tokyo LNG Tanker/Mitsui OSK","7KAP","431048000","9758832","8-Tanker","For Orders","9100001","0-Underway(Engine)","-27.272943","44.258307","13m28s","2025-08-19T05:55:52.000Z"
"Hong Kong, China","QIU CHI","Qiu Chi Shipping SA","VREV8","477185500","9262429","8-Tanker","Durban","8232300","0-Underway(Engine)","-13.553805","46.546282","16m17s","2025-08-19T05:53:03.000Z"
"Hong Kong, China","LANDBRIDGE FORTUNE","Fortune Energetic I Shipping","VRPF2","477913200","9727211","8-Tanker","High Sea For Order","9011000","0-Underway(Engine)","-25.606533","47.439548","14m22s","2025-08-19T05:54:58.000Z"
"Marshall Islands","UOG KORTHI","ATNY Yanbu LLC","V7FS5","538005653","9458808","8-Tanker","Eshuv","9101200","0-Underway(Engine)","-26.47338","46.051953","12m19s","2025-08-19T05:57:01.000Z"
"Marshall Islands","MADHA SILVER","Madha Silver Maritime Trans","V7NT7","538006505","9718818","8-Tanker","Br Sfs>mu Plu","8201800","0-Underway(Engine)","-23.788083","51.333062","34m15s","2025-08-19T05:35:05.000Z"
"Marshall Islands","OLYMPIC LYRA","Ninemia Ventures SA","V7A2038","538008169","9831816","8-Tanker","Zacpt","8252000","0-Underway(Engine)","-25.9567","48.149117","16m31s","2025-08-19T05:52:49.000Z"
"Marshall Islands","LADY AMANDA","Southern Pacific Holding Corp","V7A5276","538009872","9913602","8-Tanker","Ushou","9162000","0-Underway(Engine)","-26.937275","45.629783","12m06s","2025-08-19T05:57:14.000Z"
"Marshall Islands","FAIRCHEM ROOIBOS","MOL Chemical Tankers Pte Ltd","V7A5293","538009885","9920306","8-Tanker","Muplu","8211000","0-Underway(Engine)","-27.055232","47.248878","21m40s","2025-08-19T05:47:40.000Z"
"Marshall Islands","NORDIC MOON","OCY NAT 5 Ltd","V7A3164","538011585","9742900","8-Tanker","In Vtz","8310230","0-Underway(Engine)","-25.408718","49.818917","34m29s","2025-08-19T05:34:51.000Z"
"Singapore","Delta Prince","null","ABCD","563000000","0","8-Tanker","","2460","1-AtAnchor","1.334387","103.88237","13m09s","2025-08-19T05:56:11.000Z"
"Singapore","FAIRCHEM VALOR","Grace Ocean Pte Ltd","9V5055","563077600","9791195","8-Tanker","Ae Fjr","8302100","0-Underway(Engine)","-15.333857","44.235223","14m12s","2025-08-19T05:55:08.000Z"
"Singapore","REFERENCE POINT","New Reference Point Shipping","9V5587","563091800","9832808","8-Tanker","Ngesc","8312200","0-Underway(Engine)","-23.084748","51.047678","19m39s","2025-08-19T05:49:41.000Z"
"Singapore","HAFNIA PRESTIGE","BW Clearwater Pte Ltd","9V7902","563154200","9760225","8-Tanker","Omsoh>>mgtmm","8110900","5-Moored","-18.151952","49.424232","9m59s","2025-08-19T05:59:21.000Z"
"Singapore","LNG GENEVA","Fortune Pillar Shipping Ltd","9V8914","563189100","9892133","8-Tanker","Aejea","8291200","0-Underway(Engine)","-27.91904","45.286515","12m56s","2025-08-19T05:56:24.000Z"
"Singapore","NAVIG8 EXECUTIVE","Whitebait Marine Pte Ltd","9VDQ9","563257900","9973937","8-Tanker","","9070700","0-Underway(Engine)","-25.650827","47.096095","4m34s","2025-08-19T06:04:46.000Z"
"Liberia","FPMC 36","FPMC 36 Marine Corp","D5RC9","636018728","9845180","8-Tanker","Cape Of Good Hope","8252000","0-Underway(Engine)","-24.078997","50.658092","12m03s","2025-08-19T05:57:17.000Z"
"Liberia","ZAKUM","Zakum Inc","D5YX9","636020377","9851842","8-Tanker","Br Adr","9032000","0-Underway(Engine)","-27.666992","45.422818","12m31s","2025-08-19T05:56:49.000Z"
"Liberia","VL BREEZE","GL NV32 Shipping Inc","5LEK3","636021534","9926738","8-Tanker","Sgsin->mxdbt","9141900","0-Underway(Engine)","-25.014887","49.244288","13m01s","2025-08-19T05:56:19.000Z"
"Brazil","JOSE DO PATROCINIO","TRANSPETRO","PPRM","710025780","9453860","8-Tanker","Muplu","8211700","0-Underway(Engine)","-26.69199","47.739317","13m23s","2025-08-19T05:55:57.000Z"